Description,Account,Amount,DID,AID
ROMANOS 1181 PROVO UT 05/31,Meals and Entertainment,26.29,295,539
ROSE CAFE VENICE CA 10/22,Meals and Entertainment,46.2,296,539
ROXBERRY JUICE SO SOUTH JORDAN U T            11/29,Meals and Entertainment,5.03,297,539
RUFF HOUSE OREM UT 01/23,Personal,280,298,541
RUFF HOUSE OREM UT 06/15,Personal,235,298,541
RUFF HOUSE OREM UT 08/31,Personal,17,298,541
RUFF HOUSE OREM UT 09/05,Personal,23,298,541
RUFF HOUSE OREM UT 09/09,Personal,24,298,541
RUFF HOUSE OREM UT 09/18,Personal,24,298,541
RUFF HOUSE OREM UT 09/30,Personal,24,298,541
RUMBI ISLAND GRILL - OR OREM UT 08/15,Meals and Entertainment,24.65,299,539
S & S FOODS SUPERIOR MT 885881  07/30,Meals and Entertainment,3.48,300,539
SALLY BEAUTY #15 77 S OREM UT 127226  05/09,Personal,18.42,301,541
SALLY BEAUTY #15 77 S OREM UT 454805  12/24,Personal,25.67,301,541
SALLY BEAUTY #15 77 S OREM UT 561388  08/08,Hair,43.76,301,502
SALLY BEAUTY #15 77 S OREM UT 805869  05/05,Hair,46.57,301,547
SALLY BEAUTY #32 468 AMERICAN FO RK UT620554  10/08,Personal,7.28,301,541
SALON INNOVATIONS INC 800-433598 0 MN         09/12,Personal,66.12,302,541
SALONCENTRIC5602 OREM UT 06/25,Hair,58.7,303,502
SALONCENTRIC5602 OREM UT 07/26,Hair,66.16,303,502
SALONCENTRIC5602 OREM UT 10/03,Hair,89.52,303,547
SALONCENTRIC5602 OREM UT 12/24,Hair,109.73,303,502
SALONCENTRIC5603 SANDY UT 02/06,Hair,13.52,303,502
SALT LAKE COMMUNITY CO 801-95748 68 UT        01/11,Abby's College,1837.5,304,510
SALT LAKE COMMUNITY CO 801-95748 68 UT        05/29,Abby's College,2019.25,304,510
SAMSONITE FCTRY OTLT 2 LEHI UT 590746  11/19,Travel,21.3,305,558
SAVERS - 1036 OREM UT 08/15,Clothing,10.63,306,525
SAVERS - 1036 OREM UT 10/27,Clothing,36.83,306,525
SBARRO'S B CONC SEA SEATTLE WA 02/25,Meals and Entertainment,12.34,307,539
SCERA POOL OREM UT 07/02,Meals and Entertainment,6,308,539
SEASIDE BURGER INC VENICE CA 10/21,Meals and Entertainment,7.36,309,539
SHELL Service Station CORDOVA TN 036560  07/29,Gas,31.81,310,516
SHELL Service Station PROVO UT 007848  12/10,Gas,30.05,310,516
SHOPKO 105 OREM UT 179982  08/22,office expense,319.2,311,540
SHOPKO 105 OREM UT 248646  07/18,Supplies,53.84,311,553
SHOPKO 105 OREM UT 847663  01/31,office expense,28.82,311,540
SL COMM COLL MKTP 801-9574868 UT 11/22,Employee Benefits,40,312,530
SLCC LHMILLER FOOD SERV SANDY UT 01/31,Meals and Entertainment,1.53,313,539
SLCC TAYLORSVILLE BK SALT LAKE C IT UT        06/20,Abby's College,6.21,314,510
SLCC TAYLORSVILLE BK SALT LAKE C IT UT        07/09,Meals and Entertainment,5.94,314,539
SMITHS #4277 KAYSVILLE UT 022886  07/04,Meals and Entertainment,3.48,315,539
SMITHS FOOD #414 OREM UT 032794  06/26,Groceries,18.62,315,568
SMITHS FOOD 4144 OREM UT 010093  07/28,Groceries,38.64,315,568
SMITHS FOOD 4144 OREM UT 078742  11/26,Groceries,51.17,315,568
SMITHS FOOD 4144 OREM UT 084458  10/05,Groceries,38.66,315,568
SMITHS FOOD 4144 OREM UT 121617  12/28,Groceries,27.95,315,568
SMITHS FOOD 4144 OREM UT 150988  10/02,Groceries,31.71,315,568
SMITHS FOOD 4144 OREM UT 280939  10/14,Groceries,173.08,315,568
SMITHS FOOD 4144 OREM UT 409527  11/12,Groceries,119.1,315,568
SMITHS FOOD 4144 OREM UT 498215  08/19,Groceries,18.73,315,568
SMITHS FOOD 4144 OREM UT 510393  06/25,Groceries,3.59,315,568
SMITHS FOOD 4144 OREM UT 551120  11/19,Groceries,58.23,315,568
SMITHS FOOD 4144 OREM UT 562794  11/11,Groceries,35.21,315,568
SMITHS FOOD 4144 OREM UT 574983  02/07,Groceries,104.58,315,568
SMITHS FOOD 4144 OREM UT 576334  06/28,Groceries,69.78,315,568
SMITHS FOOD 4144 OREM UT 611750  08/29,Groceries,37.2,315,568
SMITHS FOOD 4144 OREM UT 617389  09/12,Groceries,50.59,315,568
SMITHS FOOD 4144 OREM UT 617575  05/18,Groceries,84.49,315,568
SMITHS FOOD 4144 OREM UT 637629  08/17,Groceries,25.8,315,568
SMITHS FOOD 4144 OREM UT 639471  09/18,Groceries,5.16,315,568
SMITHS FOOD 4144 OREM UT 655816  03/28,Groceries,52.32,315,568
SMITHS FOOD 4144 OREM UT 655998  08/06,Groceries,45.35,315,568
SMITHS FOOD 4144 OREM UT 658548  04/14,Groceries,8.31,315,568
SMITHS FOOD 4144 OREM UT 668375  11/01,Groceries,78.98,315,568
SMITHS FOOD 4144 OREM UT 672141  08/22,Groceries,35.46,315,568
SMITHS FOOD 4144 OREM UT 695321  08/29,Groceries,22.37,315,568
SMITHS FOOD 4144 OREM UT 730527  04/10,Groceries,33.84,315,568
SMITHS FOOD 4144 OREM UT 732897  12/29,Groceries,12.23,315,568
SMITHS FOOD 4144 OREM UT 750215  01/13,Groceries,93.29,315,568
SMITHS FOOD 4144 OREM UT 771139  08/31,Groceries,21.81,315,568
SMITHS FOOD 4144 OREM UT 779334  10/13,Groceries,114.81,315,568
SMITHS FOOD 4144 OREM UT 783934  01/10,Groceries,68.52,315,568
SMITHS FOOD 4144 OREM UT 787997  08/19,Meals and Entertainment,33.2,315,539
SMITHS FOOD 4144 OREM UT 804202  10/21,Groceries,13.15,315,568
SMITHS FOOD 4144 OREM UT 827108  09/24,Groceries,73.52,315,568
SMITHS FOOD 4144 OREM UT 902540  09/30,Groceries,36.42,315,568
SMITHS FOOD 4144 OREM UT 907204  04/04,Groceries,23.06,315,568
SMITHS FOOD 4144 OREM UT 964050  06/09,Groceries,5.14,315,568
SMITHS FOOD 4144 OREM UT 966839  03/03,Groceries,91.13,315,568
SMITHS FOOD 4144 OREM UT 989985  08/03,Groceries,77.2,315,568
SMITHS FOOD 4144 OREM UT 995717  09/01,Groceries,28.6,315,568
SMITHS FUEL 9144 Q74 OREM UT 641252  04/16,Gas,30.42,315,516
SMITHS OREM UT 000246  11/22,Supplies,12,315,553
SMITHS OREM UT 000888  10/03,Supplies,9.36,315,553
SMITHS OREM UT 001747  06/14,Supplies,73.05,315,553
SMITHS OREM UT 003229  12/11,Supplies,64.29,315,553
SMITHS OREM UT 003864  08/28,Supplies,16.2,315,553
SMITHS OREM UT 004368  01/06,Meals and Entertainment,16.24,315,539
SMITHS OREM UT 005406  07/18,Supplies,23.41,315,553
SMITHS OREM UT 007469  08/25,Supplies,15.27,315,553
SMITHS OREM UT 008444  01/11,Meals and Entertainment,38.44,315,539
SMITHS OREM UT 010924  09/01,Supplies,9.42,315,553
SMITHS OREM UT 011934  08/18,Supplies,13.31,315,553
SMITHS OREM UT 018574  01/31,Supplies,53.98,315,553
SMITHS OREM UT 019147  09/24,Supplies,22.91,315,553
SMITHS OREM UT 020738  06/15,Supplies,14.56,315,553
SMITHS OREM UT 026630  10/31,Supplies,15.19,315,553
SMITHS OREM UT 027867  08/29,Supplies,21.14,315,553
SMITHS OREM UT 028123  07/23,Supplies,41.22,315,553
SMITHS OREM UT 028751  11/12,Supplies,36,315,553
SMITHS OREM UT 029731  03/31,Supplies,7.5,315,553
SMITHS OREM UT 030306  09/04,Supplies,13.44,315,553
SMITHS OREM UT 030544  02/18,Supplies,8.78,315,553
SMITHS OREM UT 030712  01/24,Meals and Entertainment,18.88,315,539
SMITHS OREM UT 033456  08/16,Supplies,65.66,315,553
SMITHS OREM UT 034241  11/05,Supplies,98.38,315,553
SMITHS OREM UT 035884  06/18,Supplies,21.18,315,553
SMITHS OREM UT 036391  01/17,Meals and Entertainment,23.78,315,539
SMITHS OREM UT 036808  07/14,Supplies,155.22,315,553
SMITHS OREM UT 036878  11/30,Supplies,19.93,315,553
SMITHS OREM UT 037512  10/15,Supplies,25.38,315,553
SMITHS OREM UT 038052  07/08,Supplies,19.28,315,553
SMITHS OREM UT 038211  02/06,Supplies,96.02,315,553
SMITHS OREM UT 044132  04/04,Supplies,94.09,315,553
SMITHS OREM UT 044941  04/25,Supplies,62.87,315,553
SMITHS OREM UT 046797  08/18,Supplies,9.98,315,553
SMITHS OREM UT 049221  08/11,Supplies,19.35,315,553
SMITHS OREM UT 051943  04/25,Supplies,4.08,315,553
SMITHS OREM UT 052889  01/10,Meals and Entertainment,52.59,315,539
SMITHS OREM UT 053225  01/24,Supplies,40.15,315,553
SMITHS OREM UT 054467  07/18,Supplies,11.15,315,553
SMITHS OREM UT 056080  08/07,Supplies,20.34,315,553
SMITHS OREM UT 057464  03/21,Supplies,86.19,315,553
SMITHS OREM UT 062305  08/22,Supplies,19.94,315,553
SMITHS OREM UT 062601  09/08,Supplies,21.65,315,553
SMITHS OREM UT 065040  06/06,Supplies,19.72,315,553
SMITHS SOUTH JORDAN UT 050862  11/28,Supplies,6.16,315,553
SMITHS SOUTH JORDAN UT 057717  11/28,Supplies,3.29,315,553
SMITHS-FUEL #914 OREM UT 052976  07/12,Gas,30.19,315,516
SOCIETY6.COM SOCIETY6.COM CA 03/16,office expense,43.5,316,540
SOCIETY6.COM SOCIETY6.COM CA 12/11,office expense,24.06,316,540
SODALICIOUS - RIVERTON RIVERTON UT           02/06,Meals and Entertainment,5.08,165,539
SODALICIOUS - RIVERTON RIVERTON UT           02/23,Meals and Entertainment,10.79,165,539
SONIC DRIVE IN #4633 DRAPER UT 08/06,Meals and Entertainment,10.32,317,539
SP * AURA OREM UT 08/25,office expense,41.71,318,540
"SP * BIG MOODS, LLC HTTPSBROKEST U MI         02/13",Personal,17.39,319,541
SP * BOHOWILD BOUTIQUE 778998098 6 BC         02/06,Clothing,39.95,320,525
SP * BOHOWILD BOUTIQUE 778998098 6 BC         02/19,Clothing,44.25,320,525
"SP * BOINCA, INC. ARCTICFOX.MYS CA           06/21",Personal,18.89,321,541
SP * BORBOLETABEAUTY BORBOLETABE AU UT        01/09,Eye Lash,122,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        01/20,Eyelash,44.9,322,501
SP * BORBOLETABEAUTY BORBOLETABE AU UT        01/25,Eye Lash,157,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        02/23,Eye Lash,430,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        03/24,Eye Lash,301.25,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        03/31,Eye Lash,75.5,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        04/05,Eye Lash,202.25,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        04/23,Eye Lash,124.25,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        05/09,Eye Lash,245,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        05/23,Eye Lash,90.5,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        05/29,Eyelash,62,322,501
SP * BORBOLETABEAUTY BORBOLETABE AU UT        05/30,Eye Lash,173,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        06/13,Eye Lash,104.75,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        06/19,Eyelash,57,322,501
SP * BORBOLETABEAUTY BORBOLETABE AU UT        06/28,Eye Lash,109.25,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        07/03,Eyelash,37,322,501
SP * BORBOLETABEAUTY BORBOLETABE AU UT        07/11,Eye Lash,161.75,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        07/26,Eye Lash,90.5,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        08/10,Eye Lash,162.62,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        08/28,Eye Lash,118.4,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        10/01,Eye Lash,118.4,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        10/23,Eye Lash,242.3,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        11/13,Eye Lash,78,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        11/28,Eye Lash,84.8,322,546
SP * BORBOLETABEAUTY BORBOLETABE AU UT        12/13,Eye Lash,63.8,322,546
SP * COSSETBATHANDB SALT LAKE C UT           12/24,Personal,30.03,323,541
SP * COZY COTTONTAIL HTTPSALLTHI NG UT        01/08,Personal,37.65,324,541
SP * EBLLASHES HTTPSEBLLASHE UT 01/14,Eye Lash,199.96,325,546
SP * EBLLASHES HTTPSEBLLASHE UT 01/20,Eyelash,135.04,325,501
SP * EBLLASHES HTTPSEBLLASHE UT 02/02,Eye Lash,124.92,325,546
SP * EBLLASHES HTTPSEBLLASHE UT 02/05,Eye Lash,232.11,325,546
SP * EBLLASHES HTTPSEBLLASHE UT 03/17,Eyelash,49.68,325,501
SP * EBLLASHES HTTPSEBLLASHE UT 04/03,Eyelash,81.69,325,501
SP * EBLLASHES HTTPSEBLLASHE UT 04/27,Eye Lash,92.76,325,546
SP * EBLLASHES HTTPSEBLLASHE UT 06/03,Eye Lash,103.46,325,546
SP * EBLLASHES HTTPSEBLLASHE UT 08/07,Eyelash,199.06,325,501
SP * EBLLASHES HTTPSEBLLASHE UT 08/14,Eyelash,145.21,325,501
SP * EBLLASHES HTTPSEBLLASHE UT 08/30,Eye Lash,131.36,325,546
SP * EBLLASHES HTTPSEBLLASHE UT 09/18,Eyelash,51.83,325,501
SP * EBLLASHES HTTPSEBLLASHE UT 10/09,Eyelash,132.92,325,501
SP * EBLLASHES HTTPSEBLLASHE UT 11/02,Eye Lash,197.81,325,546
SP * EBLLASHES HTTPSEBLLASHE UT 11/12,Eyelash,49.68,325,501
SP * EBLLASHES HTTPSEBLLASHE UT 11/12,Eyelash,135.64,325,501
SP * ELLEN'S CRAFT P HTTPSELLENS CR UT        06/18,Meals and Entertainment,16,326,539
SP * ELLEN'S CRAFT P HTTPSELLENS CR UT        07/14,Meals and Entertainment,35.21,326,539
SP * J BRAND BEAUTY HTTPSJBRANDB E HI         01/06,Eye Lash,85,327,546
SP * J BRAND BEAUTY HTTPSJBRANDB E HI         05/14,Eye Lash,75,327,546
SP * LASH BOX LA LASHBOXLA.MYS C A            09/12,Eye Lash,98.5,328,546
SP * LASH BOX LA LASHBOXLA.MYS C A            11/02,Eye Lash,78.2,328,546
SP * LASHORDER.COM LASHORDER.MYS CA          04/25,Eyelash,42.24,329,501
SP * LASHORDER.COM LASHORDER.MYS CA          06/04,Eyelash,43.24,329,501
SP * LASHORDER.COM LASHORDER.MYS CA          06/15,Eyelash,43.24,329,501
SP * LASHORDER.COM LASHORDER.MYS CA          06/18,Eyelash,99.45,329,501
SP * LASHORDER.COM LASHORDER.MYS CA          06/21,Eyelash,68.21,329,501
SP * LASHORDER.COM LASHORDER.MYS CA          07/16,Eyelash,83.23,329,501
SP * LASHORDER.COM LASHORDER.MYS CA          07/30,Eyelash,88.2,329,501
SP * LASHORDER.COM LASHORDER.MYS CA          09/15,Eyelash,149.45,329,501
SP * LUXOME PRODUCTS HTTPSLUXOME PR MI        09/24,Personal,105.99,330,541
SP * MEBIEBABY HTTPSEMBECOMP UT 07/22,Uncategorized Expense,31.81,331,559
SP * ONE LOVED BABE ONELOVEDBABE . UT         07/25,Clothing,83.35,332,525
SP * ONE TRIBE APPAR ONETRIBEAPP AR PA        01/28,Clothing,28.8,333,525
SP * SUGAR LASH INCORP 587982527 4 AB         03/12,Eye Lash,360.5,334,546
SP * UNTAMED-ARTISTRY- VANCOUVER BC          03/09,Eye Lash,35.48,335,546
SP * UNTAMED-ARTISTRY- VANCOUVER BC          12/03,Supplies,60,335,553
SPENCER GIFTS #2164 SANDY UT 024109  08/10,Personal Expenses,48.04,336,572
Spotify USA 646-8375380 NY 01/09,Dues & Subscriptions,5.33,337,529
Spotify USA 646-8375380 NY 01/09,Dues & Subscriptions,10.67,337,529
Spotify USA 646-8375380 NY 02/09,Dues & Subscriptions,10.67,337,529
Spotify USA 646-8375380 NY 02/09,Meals and Entertainment,5.33,337,539
Spotify USA 646-8375380 NY 03/09,Dues & Subscriptions,10.67,337,529
Spotify USA 646-8375380 NY 04/09,Dues & Subscriptions,10.67,337,529
Spotify USA 646-8375380 NY 05/09,Dues & Subscriptions,10.67,337,529
Spotify USA 646-8375380 NY 05/09,Dues & Subscriptions,5.33,337,529
Spotify USA 646-8375380 NY 06/09,Dues & Subscriptions,10.67,337,529
Spotify USA 646-8375380 NY 06/09,Dues & Subscriptions,5.33,337,529
Spotify USA 646-8375380 NY 07/09,Dues & Subscriptions,10.67,337,529
Spotify USA 646-8375380 NY 07/09,Dues & Subscriptions,5.33,337,529
Spotify USA 646-8375380 NY 08/09,Dues & Subscriptions,10.67,337,529
Spotify USA 646-8375380 NY 08/09,Dues & Subscriptions,5.33,337,529
Spotify USA 646-8375380 NY 09/09,Dues & Subscriptions,10.67,337,529
Spotify USA 646-8375380 NY 09/09,Meals and Entertainment,5.33,337,539
Spotify USA 646-8375380 NY 10/09,Dues & Subscriptions,10.67,337,529
Spotify USA 646-8375380 NY 10/09,Meals and Entertainment,5.33,337,539
Spotify USA 646-8375380 NY 11/09,Dues & Subscriptions,10.67,337,529
Spotify USA 646-8375380 NY 11/09,Dues & Subscriptions,5.33,337,529
Spotify USA 646-8375380 NY 12/09,Dues & Subscriptions,10.67,337,529
Spotify USA 646-8375380 NY 12/09,Dues & Subscriptions,5.33,337,529
Spotify USA 877-7781161 NY 01/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 02/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 02/09,Dues & Subscriptions,10.67,337,529
Spotify USA 877-7781161 NY 03/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 03/09,Dues & Subscriptions,10.67,337,529
Spotify USA 877-7781161 NY 04/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 04/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 05/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 05/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 06/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 06/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 07/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 07/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 08/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 08/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 09/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 10/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 11/09,Dues & Subscriptions,10.71,337,529
Spotify USA 877-7781161 NY 12/09,Dues & Subscriptions,10.71,337,529
Spotify USA New York NY 03/09,Meals and Entertainment,5.33,337,539
SPRINT RETAIL #257081 SANDY UT 02/08,phone,97.24,338,543
SPRINT STORE BRIGHAM CITY UT 02/08,phone,38.46,338,543
SPROUTS FARMERS MARKE SOUTH JORD AN UT000423  09/19,Supplies,26.91,339,553
SPROUTS FARMERS MKT#60 OREM UT 104153  09/14,Supplies,31.72,339,553
SPROUTS FARMERS MKT#60 OREM UT 218406  10/29,Supplies,10.14,339,553
SPROUTS FARMERS MKT#60 OREM UT 357342  10/11,Supplies,52.69,339,553
SPROUTS FARMERS MKT#60 OREM UT 369228  07/25,Supplies,8.36,339,553
SPROUTS FARMERS MKT#60 OREM UT 680039  09/09,Groceries,91.57,339,568
SPROUTS FARMERS MKT#60 OREM UT 825368  08/29,Groceries,24.66,339,568
SQ *14 - BEVERAGE TR Salt Lake C it UT        08/12,Meals and Entertainment,8,340,539
SQ *3 - SOUTH ENTRAN Salt Lake C it UT        08/12,Parking,10,341,518
SQ *ALFRED COFFEE {STU Studio Ci ty CA        10/19,Meals and Entertainment,5.5,366,539
SQ *AWAKEN COFFEE Knoxville TN 08/02,Business Trip,10.6,366,524
SQ *BLUE POBLANO Provo UT 05/09,Meals and Entertainment,11.28,343,539
SQ *BLUETIQUE CHEAP CHI Knoxvill e TN         07/31,Business Trip,54.61,344,524
SQ *CHIP COOKIES Provo UT 03/30,Meals and Entertainment,10.78,345,539
SQ *CHIP COOKIES Provo UT 04/15,Meals and Entertainment,21.57,345,539
SQ *CHIP COOKIES Provo UT 05/10,Meals and Entertainment,21.57,345,539
SQ *CHIP COOKIES Provo UT 09/01,Meals and Entertainment,10.78,345,539
SQ *CHIP COOKIES Provo UT 09/21,Meals and Entertainment,12.94,345,539
SQ *CHIP COOKIES Provo UT 09/24,Meals and Entertainment,10.78,345,539
SQ *CHIP COOKIES Provo UT 11/17,Meals and Entertainment,20.49,345,539
SQ *CHIP COOKIES Provo UT 12/01,Meals and Entertainment,10.78,345,539
SQ *CHIP COOKIES Provo UT 12/07,Meals and Entertainment,10.78,345,539
SQ *CORNBELLY'S Lehi UT 10/08,Meals and Entertainment,2.69,346,539
SQ *CORNDOG COMMANDER Lehi UT 07/02,Meals and Entertainment,3,347,539
SQ *CRISPY GRINDZ Haleiwa HI 10/02,Meals and Entertainment,12.04,348,539
SQ *CRUMBL - OREM Orem UT 01/12,Meals and Entertainment,12.28,349,539
SQ *CRUMBL - OREM Orem UT 01/18,Meals and Entertainment,12.28,349,539
SQ *CRUMBL - OREM Orem UT 02/09,Meals and Entertainment,12.28,349,539
SQ *CRUMBL - OREM Orem UT 03/19,Meals and Entertainment,12.28,349,539
SQ *CRUMBL - OREM Orem UT 09/04,Meals and Entertainment,10.68,349,539
SQ *CRUMBL - OREM Orem UT 11/19,Meals and Entertainment,46.69,349,539
SQ *CRUMBL - OREM Orem UT 12/22,Meals and Entertainment,12.28,349,539
SQ *CUPBOP AMERICAN American For k UT         11/05,Meals and Entertainment,10.2,350,539
SQ *DIAMOND FLEX ADHESI gosq.com AZ          01/23,Eye Lash,50,351,546
SQ *DIAMOND FLEX ADHESI gosq.com AZ          08/21,Meals and Entertainment,40,351,539
SQ *DIAMOND FLEX ADHESI gosq.com AZ          11/13,Supplies,50,351,553
SQ *DINKY DONUTS WEST JORDAN UT 04/27,Meals and Entertainment,4.33,352,539
SQ *FAMILY SQUEEZED HIGHLAND UT 07/02,Meals and Entertainment,11.5,353,539
SQ *FLEEK ARTISTRY- ORE gosq.com UT          08/26,Teeth Whitening,999,354,555
SQ *FLEEK ARTISTRY- ORE gosq.com UT          08/31,Teeth Whitening,85,354,555
SQ *GUIDED EATING LLC gosq.com U T            06/26,Personal,90,355,541
SQ *GUY AND GALLARD VII New York NY          12/07,Meals and Entertainment,8.98,356,539
SQ *HALEIWA BOWLS Haleiwa HI 10/03,Meals and Entertainment,9.33,357,539
SQ *IVY ROSE gosq.com OH 03/25,Clothing,14.59,358,525
SQ *LA BARBA COFFEE SLC UT 07/13,Meals and Entertainment,6.12,359,539
SQ *LA BARBA COFFEE SLC UT 07/15,Meals and Entertainment,9.36,359,539
SQ *LA BARBA COFFEE SLC UT 08/08,Meals and Entertainment,6.04,359,539
SQ *LA BARBA COFFEE SLC UT 08/10,Meals and Entertainment,10.36,359,539
SQ *PIZZERIA SEVEN TWEL Orem UT 01/06,Meals and Entertainment,17.24,360,539
SQ *PIZZERIA SEVEN TWEL Orem UT 01/25,Meals and Entertainment,24.49,360,539
SQ *PIZZERIA SEVEN TWEL Orem UT 09/07,Meals and Entertainment,10.01,360,539
SQ *PIZZERIA SEVEN TWEL Orem UT 09/26,Meals and Entertainment,20.1,360,539
SQ *PIZZERIA SEVEN TWEL Orem UT 10/12,Meals and Entertainment,19.02,360,539
SQ *PIZZERIA SEVEN TWEL Orem UT 10/12,Meals and Entertainment,21.24,360,539
SQ *PIZZERIA SEVEN TWEL Orem UT 10/26,Meals and Entertainment,17.02,360,539
SQ *PIZZERIA SEVEN TWEL Orem UT 12/11,Meals and Entertainment,6.41,360,539
SQ *PROVO BAKERY Provo UT 06/24,Meals and Entertainment,3.06,361,539
SQ *RUGGED GROUNDS Provo UT 06/05,Meals and Entertainment,6.75,362,539
SQ *TAMMY REBOLLO Orem UT 05/07,Personal,158.7,363,541
SQ *TESTING SERVICES Orem UT 09/05,Legal & Professional Fees,4,364,538
SQ *THE CHOCOLATE OREM Orem UT 11/16,Meals and Entertainment,7.18,365,539
SQ *THE CHOCOLATE Orem UT 07/08,Meals and Entertainment,7.48,365,539
SQ *THE COFFEE SHOP LLC PROVO UT 08/21,Meals and Entertainment,7.25,366,539
SQ *THE COFFEE SHOP LLC PROVO UT 09/12,Meals and Entertainment,6.25,366,539
SQ *THE COFFEE SHOP LLC PROVO UT 10/03,Meals and Entertainment,6,366,539
SQ *THE DOJO PERRY'S MA Orem UT 03/27,Personal,39,367,541
SQ *WAFFLE LOVE PROVO Provo UT 07/09,Meals and Entertainment,21.08,368,539
Square Inc       170602P2   L204 208774737   WEB ID: 9424300002,Meals and Entertainment,30,370,539
Square Inc       170703P2   L204 217722250   WEB ID: 9424300002,Processing Fees,30,370,544
Square Inc       170802P2   L204 226549683   WEB ID: 9424300002,Processing Fees,30,370,544
Square Inc       170904P2   L204 236537950   WEB ID: 9424300002,Processing Fees,30,370,544
Square Inc       171002P2   L204 245080886   WEB ID: 9424300002,Processing Fees,30,370,544
Square Inc       171102P2   L204 253701590   WEB ID: 9424300002,Processing Fees,30,370,544
Square Inc       171204P2   L204 261013232   WEB ID: 9424300002,Processing Fees,30,370,544
Square Inc       180102P2   L209 327356751   WEB ID: 9424300002,Processing Fees,30,370,544
Square Inc       180202P2   L209 332541184   WEB ID: 9424300002,Processing Fees,32.06,370,544
STARBUCKS STORE 06835 MURRAY UT 03/23,Meals and Entertainment,5.25,371,539
STARBUCKS STORE 19776 SANDY UT 06/29,Meals and Entertainment,15.1,371,539
STARBUCKS STORE 19776 SANDY UT 06/30,Meals and Entertainment,15.1,371,539
STARBUCKS STORE 19776 SANDY UT 07/01,Meals and Entertainment,5.34,371,539
STARBUCKS STORE 24212 OREM UT 09/26,Meals and Entertainment,4.82,371,539
STARBUCKS STORE 24212 OREM UT 11/10,Meals and Entertainment,5.34,371,539
STATE FARM  INSURANCE 800-956-63 10 IL        04/30,Insurance,85,372,517
STATE FARM  INSURANCE 800-956-63 10 IL        05/30,Insurance,85,372,517
STATE FARM  INSURANCE 800-956-63 10 IL        06/29,Insurance,85,372,517
STATE FARM  INSURANCE 800-956-63 10 IL        07/30,Insurance,85,372,517
STATE FARM  INSURANCE 800-956-63 10 IL        08/29,Insurance,72.97,372,517
STATE FARM  INSURANCE 800-956-63 10 IL        10/01,Insurance,73.1,372,517
STATE FARM  INSURANCE 800-956-63 10 IL        10/29,Insurance,72.1,372,517
STATE FARM  INSURANCE 800-956-63 10 IL        12/03,Insurance,72.1,372,517
STATE FARM  INSURANCE 800-956-63 10 IL        12/31,Insurance,72.1,372,517
STATE FARM 800-956-6310 IL 01/31,Insurance,199.87,372,517
STATE FARM 800-956-6310 IL 03/01,Insurance,217.08,372,517
STATE FARM INSURANCE 800-956-631 0 IL         01/29,Insurance,86.83,372,517
STATE FARM INSURANCE 800-956-631 0 IL         01/30,Insurance,209.12,372,517
STATE FARM INSURANCE 800-956-631 0 IL         03/01,Insurance,85,372,517
STATE FARM INSURANCE 800-956-631 0 IL         03/29,Insurance,217.08,372,517
STATE FARM INSURANCE 800-956-631 0 IL         03/29,Insurance,85,372,517
STATE FARM INSURANCE 800-956-631 0 IL         04/29,Insurance,185.45,372,517
